INFO: 2025/04/25 17:44:21 proxy.go:377: Mic ON: 0003 (ID: 3)
INFO: 2025/04/25 17:44:21 proxy.go:377: Mic ON: 0005 (ID: 5)
INFO: 2025/04/25 17:44:21 proxy.go:377: Mic ON: 0006 (ID: 6)
INFO: 2025/04/25 17:44:21 proxy.go:377: Mic ON: 0026 (ID: 26)
INFO: 2025/04/25 17:44:21 proxy.go:377: Mic ON: 0027 (ID: 27)
INFO: 2025/04/25 17:44:21 proxy.go:377: Mic ON: 0046 (ID: 46)
INFO: 2025/04/25 17:45:01 proxy.go:410: Mic OFF: 0006 (ID: 6)
INFO: 2025/04/25 17:45:10 proxy.go:410: Mic OFF: 0026 (ID: 26)
INFO: 2025/04/25 17:45:10 proxy.go:410: Mic OFF: 0027 (ID: 27)
INFO: 2025/04/25 17:45:10 proxy.go:410: Mic OFF: 0046 (ID: 46)
INFO: 2025/04/25 17:45:10 proxy.go:410: Mic OFF: 0001 (ID: 1)
INFO: 2025/04/25 17:45:10 proxy.go:410: Mic OFF: 0002 (ID: 2)
INFO: 2025/04/25 17:45:10 proxy.go:410: Mic OFF: 0003 (ID: 3)
INFO: 2025/04/25 17:45:10 proxy.go:410: Mic OFF: 0005 (ID: 5)
INFO: 2025/04/25 17:45:11 proxy.go:377: Mic ON: 0001 (ID: 1)
INFO: 2025/04/25 17:45:11 proxy.go:377: Mic ON: 0002 (ID: 2)
INFO: 2025/04/25 17:45:11 proxy.go:377: Mic ON: 0003 (ID: 3)
INFO: 2025/04/25 17:45:11 proxy.go:377: Mic ON: 0026 (ID: 26)
INFO: 2025/04/25 17:45:11 proxy.go:377: Mic ON: 0027 (ID: 27)
INFO: 2025/04/25 17:45:11 proxy.go:377: Mic ON: 0046 (ID: 46)
INFO: 2025/04/25 17:45:31 proxy.go:410: Mic OFF: 0027 (ID: 27)
INFO: 2025/04/25 17:45:37 proxy.go:410: Mic OFF: 0026 (ID: 26)
INFO: 2025/04/25 17:45:40 proxy.go:410: Mic OFF: 0046 (ID: 46)
INFO: 2025/04/25 17:45:44 proxy.go:410: Mic OFF: 0003 (ID: 3)
INFO: 2025/04/25 17:45:50 proxy.go:410: Mic OFF: 0002 (ID: 2)
INFO: 2025/04/25 17:47:58 proxy.go:377: Mic ON: 0002 (ID: 2)
INFO: 2025/04/25 17:48:20 proxy.go:410: Mic OFF: 0001 (ID: 1)
INFO: 2025/04/25 17:48:29 proxy.go:377: Mic ON: 0001 (ID: 1)
INFO: 2025/04/25 17:48:51 proxy.go:377: Mic ON: 0003 (ID: 3)
INFO: 2025/04/25 17:48:54 proxy.go:410: Mic OFF: 0001 (ID: 1)
INFO: 2025/04/25 17:48:54 proxy.go:410: Mic OFF: 0002 (ID: 2)
INFO: 2025/04/25 17:48:54 proxy.go:410: Mic OFF: 0003 (ID: 3)
INFO: 2025/04/25 17:48:55 proxy.go:377: Mic ON: 0001 (ID: 1)
INFO: 2025/04/25 17:48:55 proxy.go:377: Mic ON: 0002 (ID: 2)
INFO: 2025/04/25 17:48:55 proxy.go:377: Mic ON: 0003 (ID: 3)
INFO: 2025/04/25 17:48:55 proxy.go:377: Mic ON: 0004 (ID: 4)
INFO: 2025/04/25 17:54:09 proxy.go:508: TCP Server initializing...
INFO: 2025/04/25 17:54:09 proxy.go:544: Listening on port 20001
INFO: 2025/04/25 17:54:09 proxy.go:399: Mic ON: 0001 (ID: 1)
INFO: 2025/04/25 17:54:09 proxy.go:399: Mic ON: 0002 (ID: 2)
INFO: 2025/04/25 17:54:09 proxy.go:399: Mic ON: 0003 (ID: 3)
INFO: 2025/04/25 17:54:09 proxy.go:399: Mic ON: 0004 (ID: 4)
INFO: 2025/04/25 17:54:42 proxy.go:399: Mic ON: 0005 (ID: 5)
INFO: 2025/04/25 17:54:50 proxy.go:399: Mic ON: 0006 (ID: 6)
INFO: 2025/04/25 17:54:59 proxy.go:399: Mic ON: 0007 (ID: 7)
INFO: 2025/04/25 17:55:05 proxy.go:432: Mic OFF: 0001 (ID: 1)
INFO: 2025/04/25 17:55:14 proxy.go:432: Mic OFF: 0002 (ID: 2)
INFO: 2025/04/25 17:55:22 proxy.go:432: Mic OFF: 0003 (ID: 3)
INFO: 2025/04/25 17:55:49 proxy.go:181: Client 1 connected: 192.168.88.197:65145
INFO: 2025/04/25 17:55:56 proxy.go:432: Mic OFF: 0004 (ID: 4)
INFO: 2025/04/25 17:56:16 proxy.go:432: Mic OFF: 0005 (ID: 5)
INFO: 2025/04/25 17:56:26 proxy.go:432: Mic OFF: 0006 (ID: 6)
INFO: 2025/04/25 17:56:50 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 17:56:53 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 17:56:56 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 17:56:58 proxy.go:399: Mic ON: 0007 (ID: 7)
INFO: 2025/04/25 17:57:13 proxy.go:399: Mic ON: 0001 (ID: 1)
INFO: 2025/04/25 17:57:17 proxy.go:399: Mic ON: 0002 (ID: 2)
INFO: 2025/04/25 17:57:46 proxy.go:399: Mic ON: 0004 (ID: 4)
